population,net_migration,incomeLevelRank,lendingType,lendingTypeLevel
18561674.0,109998.0,1,IDA,0
3941053.0,0.0,1,IDA,0
48417.0,-917.0,2,IDA,0
5331803.0,68259.0,1,IDA,0
13034625.0,180000.0,2,IDA,0
2221125.0,76.0,2,IDA,0
3386806.0,50002.0,2,IDA,0
14589119.0,-200002.0,1,IDA,0
2959236.0,50000.0,1,IDA,0
732523.0,-14999.0,1,IDA,0
144631.0,0.0,3,IDA,0
102737.0,-12992.0,3,IDA,0
14252021.0,-125000.0,1,IDA,0
24437469.0,-40000.0,2,IDA,0
10738533.0,87373.0,1,IDA,0
36995248.0,248546.0,1,IDA,0
52780.0,-1120.0,2,IDA,0
28570097.0,0.0,2,IDA,0
3434825.0,-40950.0,1,IDA,0
92726971.0,399997.0,1,IDA,0
8004121.0,0.0,2,IDA,0
102581.0,-7761.0,3,IDA,0
7808518.0,-25000.0,2,IDA,0
2195179.0,-129998.0,1,IDA,0
2236574.0,53337.0,1,IDA,0
62279.0,-7534.0,2,IDA,0
60887.0,-3011.0,2,IDA,0
781246.0,-97340.0,3,IDA,0
1905011.0,-15436.0,1,IDA,0
316828.0,10001.0,2,IDA,0
13401991.0,-214002.0,2,IDA,0
2778099.0,-10004.0,2,IDA,0
7026496.0,403322.0,2,IDA,0
6198200.0,-20000.0,2,IDA,0
11980937.0,-44998.0,1,IDA,0
104506.0,-2999.0,2,IDA,0
1879763.0,-39998.0,2,IDA,0
159670593.0,-1847503.0,2,IDA,0
2197298.0,-19010.0,2,IDA,0
67248.0,-664.0,2,IDA,0
43827180.0,-958174.0,1,IDA,0
2518457.0,-100000.0,1,IDA,0
6712267.0,-174998.0,1,IDA,0
96619.0,-8435.0,3,IDA,0
25167257.0,-250002.0,1,IDA,0
901686.0,-1820.0,2,IDA,0
19878254.0,370000.0,1,IDA,0
2335333.0,40000.0,1,IDA,0
7488431.0,-21000.0,1,IDA,0
131397.0,25000.0,2,IDA,0
5982526.0,-135020.0,2,IDA,0
24249130.0,100685.0,1,IDA,0
3052936.0,-140001.0,1,IDA,0
3227841.0,1910.0,1,IDA,0
3987224.0,-20000.0,1,IDA,0
3471739.0,-20000.0,1,IDA,0
70142091.0,-150001.0,1,IDA,0
19938320.0,76064.0,1,IDA,0
5717953.0,13999.0,1,IDA,0
5944948.0,-110258.0,2,IDA,0
7862214.0,30004.0,1,IDA,0
1887425.0,-14020.0,2,IDA,0
145317.0,1461.0,2,IDA,0
6946620.0,-19000.0,1,IDA,0
263842.0,-1100.0,3,IDA,0
21282515.0,-65768.0,1,IDA,0
1639848.0,-15436.0,1,IDA,0
18512394.0,-200000.0,1,IDA,0
4844002.0,-31508.0,1,IDA,0
1411543.0,-17502.0,1,IDA,0
616018.0,6171.0,2,IDA,0
4379724.0,-139146.0,1,IDA,0
3260650.0,-35328.0,2,IDA,0
14685399.0,-20001.0,1,IDA,0
10399926.0,-20000.0,1,IDA,0
6618744.0,-135001.0,1,IDA,0
7388668.0,-218064.0,1,IDA,0
13187663.0,-70000.0,1,IDA,0
9729248.0,-42268.0,1,IDA,0
2091412.0,-50234.0,2,IDA,0
15175316.0,-130000.0,1,IDA,0
14465121.0,-50000.0,2,IDA,0
2985489.0,-58030.0,2,IDA,0
285510.0,600.0,2,IDA,0
47052481.0,-250435.0,1,IDA,0
15562125.0,219998.0,2,IDA,0
25996449.0,-50000.0,2,IDA,0
12812421.0,375000.0,2,IDA,0
5920359.0,-10598.0,1,IDA,0
9245988.0,-70001.0,1,IDA,0
3899644.0,86522.0,2,IDA,0
107478.0,-2904.0,3,IDA,0
2558699.0,-37980.0,2,IDA,0
868136.0,6002.0,2,IDA,0
12786349.0,-1336060.0,1,IDA,0
4144600.0,-126883.0,2,IDA,0
9623889.0,409414.0,2,IDA,0
16905214.0,-25040.0,1,IDA,0
27834821.0,-150000.0,1,IDA,0
22346641.0,-7500.0,1,IDA,0
534516.0,-58565.0,2,IDA,0
26961197.0,584095.0,1,IDA,0
11604534.0,-1525351.0,1,IDA,0
35734272.0,-54656.0,2,IDA,0
239235.0,-5500.0,2,IDA,0
18443691.0,-112150.0,1,IDA,0
2596805.0,0.0,1,IDA,0
249499.0,1785.0,2,IDA,0
1415367.0,-25760.0,2,IDA,0
8030726.0,-144998.0,1,IDA,0
636038.0,-7998.0,2,IDA,0
5381368.0,-70243.0,1,IDA,0
21121363.0,27450.0,1,IDA,0
8060649.0,-161672.0,1,IDA,0
3111282.0,28033.0,1,IDA,0
22963946.0,150000.0,2,IDA,0
4144554.0,60000.0,1,IDA,0
4544164.0,200706.0,2,IDA,0
810405.0,-30001.0,1,IDA,0
21655398.0,-180002.0,1,IDA,0
12954155.0,607781.0,1,IDA,0
3455123.0,-110020.0,2,IDA,0
22584775.0,-464703.0,1,IDA,0
3706554.0,25002.0,2,IDA,0
5181514.0,-134783.0,2,IDA,0
379999.0,-5285.0,2,IDA,0
1855442.0,138923.0,1,IDA,0
664876.0,-10971.0,2,IDA,0
67794.0,-652.0,2,IDA,0
3540170.0,0.0,1,IDA,0
12502958.0,-175000.0,2,IDA,0
805451.0,-12221.0,2,IDA,0
160965.0,-19526.0,3,IDA,0
10647754.0,-10000.0,1,IDA,0
556064.0,-7998.0,2,IDA,0
134177.0,-6803.0,3,IDA,0
1867782.0,-50000.0,1,IDA,0
2153316.0,-359708.0,1,IDA,0
744789.0,-63249.0,3,IDA,0
11175204.0,-10000.0,1,IDA,0
13679962.0,-295987.0,2,IDA,0
10395452.0,-459839.0,2,IDA,0
27627124.0,208549.0,1,IDA,0
106400024.0,150002.0,1,IDA,0
73463584.0,-1137344.0,2,IDA,0
31192857.0,-400706.0,1,IDA,0
15419381.0,-100001.0,2,IDA,0
4290534.0,-87571.0,1,IDA,0
2951043.0,0.0,1,IDA,0
7178675.0,-75000.0,1,IDA,0
2127422.0,-40000.0,1,IDA,0
197198.0,-8491.0,2,IDA,0
2155647.0,-29002.0,2,IDA,0
5473671.0,-100000.0,1,IDA,0
6800141.0,-81501.0,1,IDA,0
3461911.0,175585.0,1,IDA,0
4350452.0,0.0,1,IDA,0
3253218.0,-57900.0,1,IDA,0
6028431.0,0.0,2,IDA,0
207089.0,-8401.0,2,IDA,0
12715510.0,-233405.0,1,IDA,0
6419901.0,1244966.0,1,IDA,0
9297113.0,-150001.0,1,IDA,0
89979.0,-1902.0,2,IDA,0
615054.0,-45000.0,2,IDA,0
501953.0,-6000.0,2,IDA,0
19357126.0,-867540.0,1,IDA,0
435432.0,-8445.0,2,IDA,0
8541605.0,-50000.0,1,IDA,0
25413917.0,-602679.0,2,IDA,0
9518162.0,-311422.0,1,IDA,0
16853688.0,-40000.0,2,IDA,0
108480.0,-12788.0,2,IDA,0
569479.0,-10000.0,2,IDA,0
2326202.0,462952.0,1,IDA,0
36193783.0,-538145.0,2,IDA,0
5352503.0,0.0,1,IDA,0
3927714.0,-10848.0,1,IDA,0
16041190.0,122650.0,1,IDA,0
1303035.0,7996.0,1,IDA,0
944097.0,4501.0,2,IDA,0
10982366.0,-175000.0,1,IDA,0
6281639.0,-2851.0,1,IDA,0
1027475.0,2620.0,1,IDA,0
4522893.0,65586.0,2,IDA,0
2481058.0,227290.0,1,IDA,0
2907321.0,-84989.0,1,IDA,0
6862273.0,-410787.0,1,IDA,0
4198010.0,-125614.0,1,IDA,0
21547188.0,-80000.0,2,IDA,0
7507303.0,-23500.0,1,IDA,0
188404.0,-8400.0,2,IDA,0
3760300.0,96284.0,3,IBRD,1
1262001.0,79998.0,3,IBRD,1
2048928.0,-14572.0,3,IBRD,1
925235.0,-61309.0,4,IBRD,1
31184415.0,160000.0,3,IBRD,1
17400347.0,163730.0,4,IBRD,1
11192854.0,-47520.0,2,IBRD,1
137278058.0,378743.0,2,IBRD,1
8171950.0,36523.0,3,IBRD,1
22828869.0,130000.0,3,IBRD,1
27754571.0,-532581.0,2,IBRD,1
4196712.0,1854.0,4,IBRD,1
6237923.0,-240415.0,2,IBRD,1
2065426.0,-7399.0,3,IBRD,1
9464495.0,72123.0,3,IBRD,1
2606139.0,-214378.0,3,IBRD,1
2318264.0,-9395.0,4,IBRD,1
4182205.0,550110.0,3,IBRD,1
7408342.0,-144154.0,3,IBRD,1
18676550.0,-2001.0,3,IBRD,1
1042652.0,-38219.0,2,IBRD,1
9854033.0,6002.0,3,IBRD,1
6421512.0,-87130.0,3,IBRD,1
38649660.0,-85199.0,4,IBRD,1
8952950.0,234148.0,2,IBRD,1
1183209472.0,-2655844.0,2,IBRD,1
16258321.0,-94100.0,3,IBRD,1
14273495.0,-237500.0,3,IBRD,1
4005800.0,85200.0,3,IBRD,1
1093317189.0,-1888986.0,2,IBRD,1
23774284.0,-93302.0,3,IBRD,1
22794284.0,-520001.0,3,IBRD,1
1472575.0,63698.0,3,IBRD,1
1194541.0,-45387.0,4,IBRD,1
21444000.0,-489932.0,3,IBRD,1
2194784.0,-37034.0,3,IBRD,1
2006670.0,-70930.0,3,IBRD,1
5863132.0,-50466.0,3,IBRD,1
8785648.0,65585.0,3,IBRD,1
2821461.0,-136000.0,4,IBRD,1
97212638.0,-834619.0,2,IBRD,1
207833831.0,106000.0,3,IBRD,1
12386879.0,-48900.0,3,IBRD,1
1202449.0,-11928.0,4,IBRD,1
26661398.0,-230000.0,3,IBRD,1
16257070.0,-647664.0,3,IBRD,1
3867309.0,-90977.0,2,IBRD,1
3860158.0,-119811.0,3,IBRD,1
29362449.0,-431040.0,3,IBRD,1
148689000.0,2490121.0,3,IBRD,1
2523354.0,18876.0,3,IBRD,1
2461049.0,-110068.0,3,IBRD,1
31105028.0,249999.0,3,IBRD,1
1644943.0,-28981.0,3,IBRD,1
1265782790.0,-2350075.0,2,IBRD,1
8476897.0,-146900.0,4,IBRD,1
457039.0,-11426.0,2,IBRD,1
5160609.0,-41269.0,3,IBRD,1
14471211.0,-77285.0,3,IBRD,1
17519417.0,261100.0,2,IBRD,1
2750086.0,-34000.0,4,IBRD,1
34297727.0,-118001.0,3,IBRD,1
4372100.0,-95445.0,3,IBRD,1
145306046.0,1778101.0,3,IBRD,1
80673951.0,-274998.0,3,IBRD,1
821687.0,80001.0,3,IBRD,1
1124753.0,-41764.0,2,IBRD,1
46956208.0,-616085.0,3,IBRD,1
10847002.0,-150000.0,2,IBRD,1
49119759.0,862221.0,3,IBRD,1
13094888.0,-239800.0,2,IBRD,1
2768227.0,-87319.0,3,IBRD,1
4755459.0,-70824.0,3,IBRD,1
46076848.0,-193380.0,3,IBRD,1
10117000.0,56146.0,3,IBRD,1
26720370.0,761878.0,3,IBRD,1
11743911.0,-154520.0,4,IBRD,1
4450564.0,-18403.0,4,IBRD,1
868958.0,-2696.0,3,IBRD,1
1875459.0,26928.0,3,IBRD,1
16522000.0,425455.0,3,IBRD,1
31195413.0,-324000.0,3,IBRD,1
2174738.0,-70002.0,3,IBRD,1
19002656.0,292354.0,3,IBRD,1
1363554.0,24296.0,3,IBRD,1
15501207.0,-398693.0,3,IBRD,1
1935100.0,-91034.0,3,IBRD,1
9498264.0,43648.0,3,IBRD,1
608144.0,-29965.0,3,IBRD,1
8742777.0,18870.0,3,IBRD,1
154468229.0,475080.0,2,IBRD,1
38363667.0,-159999.0,4,IBRD,1
3899843.0,43633.0,3,IBRD,1
88035814.0,0.0,3,IBRD,1
7199077.0,29559.0,3,IBRD,1
12462070.0,-47791.0,3,IBRD,1
3149188.0,16119.0,4,IBRD,1
2601740.0,-285201.0,3,IBRD,1
22553978.0,-580778.0,3,IBRD,1
3728874.0,-95340.0,3,IBRD,1
81101892.0,1419610.0,3,IBRD,1
943455000.0,-47004.0,3,IBRD,1
4479519.0,-134587.0,3,IBRD,1
8581300.0,53579.0,3,IBRD,1
3270164.0,-26000.0,4,IBRD,1
6255280.0,649995.0,3,IBRD,1
112425392.0,0.0,3,IBRD,1
554059.0,16188.0,3,IBRD,1
9930911.0,-153000.0,3,IBRD,1
17582904.0,-224833.0,3,IBRD,1
99859383.0,0.0,3,IBRD,1
1704642.0,26928.0,3,IBRD,1
1286797.0,38106.0,3,IBRD,1
382981.0,20000.0,3,IBRD,1
2074278.0,-8853.0,3,IBRD,1
1516958.0,-17280.0,3,IBRD,1
70883481.0,-394236.0,2,IBRD,1
2784278.0,-99.0,3,IBRD,1
4124531.0,-40004.0,4,IBRD,1
2932618.0,-183361.0,3,IBRD,1
29390409.0,-3266243.0,3,IBRD,1
264645886.0,-494777.0,2,IBRD,1
5407500.0,-87098.0,3,IBRD,1
9312095.0,-196500.0,4,IBRD,1
10359745.0,3160.0,3,IBRD,1
3133089.0,-223873.0,3,IBRD,1
10749466.0,-29300.0,3,IBRD,1
1141338.0,9566.0,3,IBRD,1
44831135.0,50001.0,2,IBRD,1
5962136.0,-312786.0,2,IBRD,1
68499.0,-5196.0,4,IBRD,1
63701972.0,-332327.0,2,IBRD,1
3407321.0,-39702.0,3,IBRD,1
1384072.0,-3999.0,4,IBRD,1
17965725.0,106550.0,3,IBRD,1
18426415.0,-175500.0,3,IBRD,1
40875360.0,-231000.0,3,IBRD,1
11324277.0,-135303.0,3,IBRD,1
248452413.0,-454447.0,2,IBRD,1
4610005.0,-125883.0,3,IBRD,1
2865637.0,57534.0,3,IBRD,1
13964379.0,1120.0,3,IBRD,1
12657366.0,142812.0,2,IBRD,1
2944809.0,-24989.0,3,IBRD,1
20657957.0,-2001.0,3,IBRD,1
2884851.0,17417.0,3,IBRD,1
1350695000.0,-1552209.0,3,IBRD,1
23447252.0,-430184.0,2,IBRD,1
35581294.0,-257096.0,2,IBRD,1
1344817.0,-3999.0,4,IBRD,1
36587261.0,-240000.0,3,IBRD,1
13275026.0,-121335.0,3,IBRD,1
4534920.0,-188129.0,4,IBRD,1
18620093.0,-309839.0,2,IBRD,1
4739745.0,26145.0,4,IBRD,1
4208676.0,-23150.0,2,IBRD,1
49255900.0,339923.0,3,IBRD,1
5774243.0,-587286.0,2,IBRD,1
1550813.0,45891.0,3,IBRD,1
30308500.0,-62544.0,4,IBRD,1
79200081.0,-1835537.0,3,IBRD,1
16914936.0,-46073.0,3,IBRD,1
53945881.0,504404.0,3,IBRD,1
3076132.0,390001.0,3,IBRD,1
5974787.0,-118555.0,3,IBRD,1
20984009.0,-320659.0,2,IBRD,1
3148281.0,-179606.0,3,IBRD,1
1236683.0,-32813.0,4,IBRD,1
3480454.0,113380.0,3,IBRD,1
608516.0,-20249.0,3,IBRD,1
1010658.0,35715.0,3,IBRD,1
8947404.0,-6877.0,3,IBRD,1
19062482.0,-449480.0,3,IBRD,1
992521.0,-21632.0,3,IBRD,1
4542800.0,-47827.0,3,IBRD,1
262378.0,5797.0,3,IBRD,1
3977672.0,412472.0,3,IBRD,1
28333052.0,-1202758.0,3,IBRD,1
4338458.0,-164230.0,2,IBRD,1
4349913.0,-653597.0,3,IBRD,1
39058603.0,395572.0,3,IBRD,1
2563534.0,81657.0,3,IBRD,1
2667960.0,-128038.0,3,IBRD,1
24931919.0,-266320.0,3,IBRD,1
44044811.0,24000.0,3,IBRD,1
2650486.0,86404.0,3,IBRD,1
4559571.0,18681.0,4,IBRD,1
9871251.0,-143045.0,2,IBRD,1
667092.0,3992.0,3,IBRD,1
4998100.0,-44090.0,3,IBRD,1
3759387.0,-6000.0,3,IBRD,1
1084441.0,-5611.0,3,IBRD,1
537497.0,-6709.0,2,Blend,2
505235.0,-8029.0,2,Blend,2
475060.0,-11341.0,2,Blend,2
442951.0,-9859.0,2,Blend,2
404259.0,-5438.0,2,Blend,2
355757.0,-6376.0,2,Blend,2
321135.0,-27757.0,2,Blend,2
294254.0,-20313.0,2,Blend,2
273335.0,-27982.0,2,Blend,2
271843.0,-34907.0,2,Blend,2
247527.0,4267.0,2,Blend,2
210142.0,-1167.0,2,Blend,2
24566045.0,-24000.0,2,Blend,2
21485266.0,-36000.0,2,Blend,2
18730282.0,-54000.0,2,Blend,2
16357602.0,-54000.0,2,Blend,2
14344449.0,-48000.0,2,Blend,2
12499499.0,-48000.0,2,Blend,2
10731064.0,-19500.0,2,Blend,2
9166816.0,-16500.0,2,Blend,2
7887560.0,0.0,2,Blend,2
6867178.0,-2500.0,2,Blend,2
6052420.0,-1000.0,2,Blend,2
5398729.0,0.0,2,Blend,2
5110702.0,-20000.0,2,Blend,2
4510198.0,-60000.0,2,Blend,2
3876119.0,91771.0,2,Blend,2
3310387.0,51485.0,2,Blend,2
2867280.0,49302.0,2,Blend,2
2489952.0,22530.0,2,Blend,2
2171321.0,2000.0,2,Blend,2
1884875.0,2098.0,2,Blend,2
1629209.0,-7407.0,2,Blend,2
1406522.0,0.0,2,Blend,2
